"ID","rodada","data","hora","mandante","visitante","formacao_mandante","formacao_visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_Placar","visitante_Placar","mandante_Estado","visitante_Estado"
"6888","1","08/08/2020","10:40","Sport","Ceara","4-2-3-1","4-2-3-1","D. Pollo Barioni","A. Ferreira","Sport","Adelmar da Costa Carvalho","3","2","PE","CE"
"6887","1","08/08/2020","10:57","Coritiba","Internacional","4-2-3-1","4-2-3-1","E. de Souza Barroca","E. Coudet","Internacional"," Couto Pereira","0","1","PR","RS"
"6886","1","08/08/2020","19:00","Fortaleza","Athletico-PR","4-2-3-1","4-3-3","R. Ceni","D. Silvestre Júnior","Athletico-PR","Arena Castelão","0","2","CE","PR"
"6890","1","09/08/2020","16:00","Flamengo","Atletico-MG","4-2-3-1","3-5-2","D. Torrent Font","J. Sampaoli Moya","Atletico-MG"," Maracanã","0","1","RJ","MG"
"6889","1","09/08/2020","16:02","Santos","Bragantino","4-3-3","4-2-3-1","A. Stival","F. de Oliveira Conceição","-","Estádio Urbano Caldeira","1","1","SP","SP"
"6891","1","09/08/2020","19:00","Gremio","Fluminense","4-2-3-1","4-3-3","Renato Gaúcho","O. Hellmann","Gremio","Arena do Grêmio","1","0","RS","RJ"
"6896","2","12/08/2020","09:43","Athletico-PR","Goias","4-3-3","4-4-2","D. Silvestre Júnior","N. da Silveira Júnior","Athletico-PR","Estádio Joaquim Américo Guimarães","2","1","PR","GO"
"6898","2","12/08/2020","19:15","Bragantino","Botafogo-RJ","4-2-3-1","4-2-3-1","F. de Oliveira Conceição","P. Autuori de Mello","-","Nabizão","1","1","SP","RJ"
"6897","2","12/08/2020","19:16","Atletico-MG","Corinthians","4-3-3","4-2-3-1","J. Sampaoli Moya","T. Retzalff Nunes","Atletico-MG"," Mineirão","3","2","MG","SP"
"6899","2","12/08/2020","20:30","Bahia","Coritiba","4-1-2-1-2","4-2-3-1","R. Machado Marques","E. de Souza Barroca","Bahia","Estádio de Pituaçu","1","0","BA","PR"
"6900","2","12/08/2020","20:31","Atletico-GO","Flamengo","4-2-3-1","4-2-3-1","V. Carmo Mancini","D. Torrent Font","Atletico-GO","Estádio Olímpico Pedro Ludovico Teixeira","3","0","GO","RJ"
"6901","2","12/08/2020","21:30","Ceara","Gremio","4-2-3-1","4-2-3-1","A. Ferreira","Renato Gaúcho","-","Arena Castelão","1","1","CE","RS"
"6902","2","12/08/2020","21:30","Fluminense","Palmeiras","4-3-3","4-2-3-1","O. Hellmann","V. Luxemburgo da Silva","-"," Maracanã","1","1","RJ","SP"
"6903","2","13/08/2020","19:16","Sao Paulo","Fortaleza","4-2-3-1","4-2-3-1","F. Diniz Silva","R. Ceni","Sao Paulo"," Morumbi","1","0","SP","CE"
"6904","2","13/08/2020","19:32","Internacional","Santos","4-1-2-1-2","3-5-2","E. Coudet","A. Stival","Internacional","Estádio José Pinheiro Borda","2","0","RS","SP"
"6905","2","13/08/2020","20:00","Vasco","Sport","4-1-4-1","4-2-3-1","R. Menezes Hubner","D. Pollo Barioni","Vasco","Estádio Vasco da Gama","2","0","RJ","PE"
"6907","3","15/08/2020","12:57","Coritiba","Flamengo","4-4-2","4-2-3-1","E. de Souza Barroca","D. Torrent Font","Flamengo"," Couto Pereira","0","1","PR","RJ"
"6906","3","15/08/2020","19:00","Gremio","Corinthians","4-2-3-1","4-2-3-1","Renato Gaúcho","T. Retzalff Nunes","-","Arena do Grêmio","0","0","RS","SP"
"6908","3","15/08/2020","21:30","Palmeiras","Goias","4-2-3-1","3-4-3","V. Luxemburgo da Silva","N. da Silveira Júnior","-","Allianz Parque","1","1","SP","GO"
"6909","3","16/08/2020","11:01","Atletico-MG","Ceara","4-2-3-1","4-2-3-1","J. Sampaoli Moya","A. Ferreira","Atletico-MG"," Mineirão","2","0","MG","CE"
"6910","3","16/08/2020","16:00","Bahia","Bragantino","4-2-3-1","4-1-4-1","R. Machado Marques","F. de Oliveira Conceição","Bahia","Estádio de Pituaçu","2","1","BA","SP"
"6911","3","16/08/2020","16:00","Vasco","Sao Paulo","4-2-3-1","4-2-3-1","R. Menezes Hubner","F. Diniz Silva","Vasco","Estádio Vasco da Gama","2","1","RJ","SP"
"6912","3","16/08/2020","18:00","Fluminense","Internacional","4-3-3","4-1-2-1-2","O. Hellmann","E. Coudet","Fluminense"," Maracanã","2","1","RJ","RS"
"6913","3","16/08/2020","19:00","Atletico-GO","Sport","4-2-3-1","4-2-3-1","V. Carmo Mancini","D. Pollo Barioni","-","Estádio Olímpico Pedro Ludovico Teixeira","1","1","GO","PE"
"6914","3","16/08/2020","19:30","Fortaleza","Botafogo-RJ","4-2-3-1","4-2-3-1","R. Ceni","P. Autuori de Mello","-","Arena Castelão","0","0","CE","RJ"
"6915","3","16/08/2020","19:46","Santos","Athletico-PR","4-3-3","4-3-3","A. Stival","L. Silvestre","Santos","Estádio Urbano Caldeira","3","1","SP","PR"
"6916","4","19/08/2020","19:15","Flamengo","Gremio","4-2-3-1","4-3-3","D. Torrent Font","Renato Gaúcho","-"," Maracanã","1","1","RJ","RS"
"6917","4","19/08/2020","19:15","Bragantino","Fluminense","4-3-3","4-2-3-1","F. de Oliveira Conceição","O. Hellmann","Bragantino","Nabizão","2","1","SP","RJ"
"6918","4","19/08/2020","19:31","Athletico-PR","Palmeiras","4-3-3","4-2-3-1","D. Silvestre Júnior","V. Luxemburgo da Silva","Palmeiras","Estádio Joaquim Américo Guimarães","0","1","PR","SP"
"6920","4","19/08/2020","20:29","Internacional","Atletico-GO","4-3-3","4-3-3","E. Coudet","V. Carmo Mancini","Internacional","Estádio José Pinheiro Borda","3","0","RS","GO"
"6919","4","19/08/2020","20:31","Goias","Fortaleza","3-4-3","4-2-3-1","N. da Silveira Júnior","R. Ceni","Fortaleza","Estádio da Serrinha","1","3","GO","CE"
"6921","4","19/08/2020","21:30","Corinthians","Coritiba","4-2-3-1","4-2-3-1","T. Retzalff Nunes","E. de Souza Barroca","Corinthians","Neo Química Arena","3","1","SP","PR"
"6922","4","19/08/2020","21:30","Botafogo-RJ","Atletico-MG","4-4-2","4-2-3-1","P. Autuori de Mello","J. Sampaoli Moya","Botafogo-RJ","Estádio Nilton Santos","2","1","RJ","MG"
"6923","4","20/08/2020","19:15","Sport","Santos","4-2-3-1","4-3-3","D. Pollo Barioni","A. Stival","Santos","Adelmar da Costa Carvalho","0","1","PE","SP"
"6924","4","20/08/2020","20:00","Ceara","Vasco","4-1-4-1","4-4-2","A. Ferreira","R. Menezes Hubner","Vasco","Arena Castelão","0","3","CE","RJ"
"6925","4","20/08/2020","20:00","Sao Paulo","Bahia","4-2-3-1","4-2-3-1","F. Diniz Silva","R. Machado Marques","-"," Morumbi","1","1","SP","BA"
"6926","5","22/08/2020","16:00","Athletico-PR","Fluminense","4-3-3","4-2-3-1","L. Porto Siqueira","O. Hellmann","Fluminense","Estádio Joaquim Américo Guimarães","0","1","PR","RJ"
"6927","5","22/08/2020","18:59","Internacional","Atletico-MG","4-2-3-1","3-4-1-2","E. Coudet","J. Sampaoli Moya","Internacional","Estádio José Pinheiro Borda","1","0","RS","MG"
"6928","5","22/08/2020","21:00","Goias","Atletico-GO","4-3-3","4-2-3-1","G. Ramos da Silva","V. Carmo Mancini","Goias","Estádio da Serrinha","2","0","GO","GO"
"6929","5","23/08/2020","11:03","Flamengo","Botafogo-RJ","4-4-2","5-4-1","D. Torrent Font","P. Autuori de Mello","-"," Maracanã","1","1","RJ","RJ"
"6930","5","23/08/2020","16:00","Vasco","Gremio","4-1-4-1","4-2-3-1","R. Menezes Hubner","Renato Gaúcho","-","Estádio Vasco da Gama","0","0","RJ","RS"
"6932","5","23/08/2020","16:01","Bragantino","Coritiba","4-3-3","4-2-3-1","F. de Oliveira Conceição","M. Santos Batista Júnior","Coritiba","Nabizão","1","2","SP","PR"
"6931","5","23/08/2020","16:02","Palmeiras","Santos","4-2-3-1","4-3-3","V. Luxemburgo da Silva","A. Stival","Palmeiras"," Morumbi","2","1","SP","SP"
"6933","5","23/08/2020","18:59","Sport","Sao Paulo","4-2-3-1","4-3-3","D. Pollo Barioni","F. Diniz Silva","Sao Paulo","Adelmar da Costa Carvalho","0","1","PE","SP"
"6934","5","23/08/2020","20:00","Ceara","Bahia","4-2-3-1","4-2-3-1","A. Ferreira","R. Machado Marques","Ceara","Arena Castelão","2","0","CE","BA"
"6935","5","26/08/2020","21:30","Corinthians","Fortaleza","4-2-3-1","4-2-3-1","T. Retzalff Nunes","R. Ceni","-","Neo Química Arena","1","1","SP","CE"
"6936","11","26/08/2020","19:00","Sao Paulo","Athletico-PR","4-3-3","4-3-3","F. Diniz Silva","D. Silvestre Júnior","Sao Paulo"," Morumbi","1","0","SP","PR"
"6946","6","29/08/2020","17:00","Botafogo-RJ","Internacional","4-3-3","4-1-2-1-2","P. Autuori de Mello","E. Coudet","Internacional","Estádio Nilton Santos","0","2","RJ","RS"
"6947","6","29/08/2020","19:00","Fluminense","Vasco","4-2-3-1","4-1-4-1","O. Hellmann","R. Menezes Hubner","Fluminense"," Maracanã","2","1","RJ","RJ"
"6948","6","29/08/2020","19:00","Bahia","Palmeiras","4-2-3-1","4-2-3-1","R. Machado Marques","V. Luxemburgo da Silva","-","Estádio de Pituaçu","1","1","BA","SP"
"6949","6","29/08/2020","21:00","Fortaleza","Bragantino","4-2-3-1","4-1-4-1","R. Ceni","F. de Oliveira Conceição","Fortaleza","Arena Castelão","3","0","CE","SP"
"6950","6","30/08/2020","11:00","Sao Paulo","Corinthians","4-3-3","4-2-3-1","F. Diniz Silva","T. Retzalff Nunes","Sao Paulo"," Morumbi","2","1","SP","SP"
"6952","6","30/08/2020","16:00","Santos","Flamengo","4-3-3","4-2-3-1","A. Stival","D. Torrent Font","Flamengo","Estádio Urbano Caldeira","0","1","SP","RJ"
"6951","6","30/08/2020","16:01","Coritiba","Sport","4-3-3","4-4-2","J. de Amorim Campos","J. Ribeiro Ventura","Coritiba"," Couto Pereira","1","0","PR","PE"
"6953","6","30/08/2020","18:01","Atletico-GO","Ceara","4-2-3-1","4-2-3-1","V. Carmo Mancini","A. Ferreira","Ceara","Estádio Olímpico Pedro Ludovico Teixeira","0","2","GO","CE"
"6956","7","02/09/2020","19:02","Ceara","Fortaleza","4-2-3-1","4-2-3-1","A. Ferreira","R. Ceni","Ceara","Arena Castelão","1","0","CE","CE"
"6957","7","02/09/2020","19:15","Fluminense","Atletico-GO","4-4-2","4-2-3-1","O. Hellmann","V. Carmo Mancini","-"," Maracanã","1","1","RJ","GO"
"6958","7","02/09/2020","19:16","Goias","Corinthians","4-3-3","4-2-3-1","T. Mendes Larghi","T. Retzalff Nunes","Corinthians","Estádio da Serrinha","1","2","GO","SP"
"6959","7","02/09/2020","20:30","Botafogo-RJ","Coritiba","4-2-3-1","4-3-3","P. Autuori de Mello","J. de Amorim Campos","-","Estádio Nilton Santos","0","0","RJ","PR"
"6961","7","02/09/2020","20:30","Bahia","Flamengo","4-2-3-1","4-2-3-1","R. Machado Marques","D. Torrent Font","Flamengo","Estádio de Pituaçu","3","5","BA","RJ"
"6960","7","02/09/2020","20:31","Athletico-PR","Bragantino","4-2-3-1","4-2-3-1","E. de Barros","M. Freitas Rocha da Silva","-","Estádio Joaquim Américo Guimarães","1","1","PR","SP"
"6962","7","02/09/2020","21:29","Palmeiras","Internacional","4-3-2-1","4-1-2-1-2","V. Luxemburgo da Silva","E. Coudet","-","Allianz Parque","1","1","SP","RS"
"6963","7","02/09/2020","21:29","Santos","Vasco","4-3-3","4-1-4-1","A. Stival","R. Menezes Hubner","-","Estádio Urbano Caldeira","2","2","SP","RJ"
"6964","7","03/09/2020","19:01","Gremio","Sport","4-2-3-1","4-2-3-1","Renato Gaúcho","J. Ribeiro Ventura","Sport","Arena do Grêmio","1","2","RS","PE"
"6965","7","03/09/2020","20:00","Atletico-MG","Sao Paulo","4-2-3-1","4-2-3-1","J. Sampaoli Moya","F. Diniz Silva","Atletico-MG"," Mineirão","3","0","MG","SP"
"6968","8","05/09/2020","13:00","Ceara","Santos","4-2-3-1","4-2-3-1","A. Ferreira","A. Stival","Santos","Arena Castelão","0","1","CE","SP"
"6966","8","05/09/2020","16:59","Flamengo","Fortaleza","4-2-3-1","4-2-3-1","D. Torrent Font","R. Ceni","Flamengo"," Maracanã","2","1","RJ","CE"
"6967","8","05/09/2020","19:00","Corinthians","Botafogo-RJ","4-2-3-1","3-5-2","T. Retzalff Nunes","P. Autuori de Mello","-","Neo Química Arena","2","2","SP","RJ"
"6969","8","06/09/2020","11:01","Bragantino","Palmeiras","4-2-3-1","4-1-4-1","M. Nogueira Barbieri","V. Luxemburgo da Silva","Palmeiras","Nabizão","1","2","SP","SP"
"6970","8","06/09/2020","16:00","Internacional","Bahia","4-3-1-2","4-1-2-1-2","E. Coudet","C. Prates","-","Estádio José Pinheiro Borda","2","2","RS","BA"
"6971","8","06/09/2020","16:01","Sao Paulo","Fluminense","4-2-3-1","4-2-3-1","F. Diniz Silva","O. Hellmann","Sao Paulo"," Morumbi","3","1","SP","RJ"
"6972","8","06/09/2020","18:00","Vasco","Athletico-PR","4-2-3-1","4-1-4-1","R. Menezes Hubner","E. de Barros","Vasco","Estádio Vasco da Gama","1","0","RJ","PR"
"6973","8","06/09/2020","18:59","Atletico-GO","Gremio","4-2-3-1","4-2-3-1","V. Carmo Mancini","Renato Gaúcho","-","Estádio Olímpico Pedro Ludovico Teixeira","1","1","GO","RS"
"6974","8","06/09/2020","20:32","Sport","Goias","4-2-3-1","4-3-3","J. Ribeiro Ventura","T. Mendes Larghi","Sport","Adelmar da Costa Carvalho","2","1","PE","GO"
"6975","8","06/09/2020","20:32","Coritiba","Atletico-MG","4-2-3-1","4-1-4-1","J. de Amorim Campos","J. Sampaoli Moya","Atletico-MG"," Couto Pereira","0","1","PR","MG"
"6976","9","09/09/2020","17:30","Athletico-PR","Botafogo-RJ","4-1-4-1","3-4-3","E. de Barros","P. Autuori de Mello","-","Estádio Joaquim Américo Guimarães","1","1","PR","RJ"
"6977","9","09/09/2020","18:00","Fortaleza","Sport","4-2-3-1","4-2-3-1","R. Ceni","J. Ribeiro Ventura","Fortaleza","Arena Castelão","1","0","CE","PE"
"6978","9","09/09/2020","18:03","Goias","Coritiba","4-3-3","4-2-3-1","T. Mendes Larghi","J. de Amorim Campos","-","Estádio da Serrinha","3","3","GO","PR"
"6979","9","09/09/2020","19:15","Sao Paulo","Bragantino","4-2-3-1","4-4-2","F. Diniz Silva","M. Nogueira Barbieri","-"," Morumbi","1","1","SP","SP"
"6980","9","09/09/2020","21:30","Fluminense","Flamengo","4-1-4-1","4-2-3-1","O. Hellmann","D. Torrent Font","Flamengo"," Maracanã","1","2","RJ","RJ"
"6981","9","09/09/2020","21:30","Santos","Atletico-MG","4-3-3","4-2-3-1","A. Stival","J. Sampaoli Moya","Santos","Estádio Urbano Caldeira","3","1","SP","MG"
"6983","9","10/09/2020","19:14","Corinthians","Palmeiras","4-2-3-1","4-1-4-1","T. Retzalff Nunes","V. Luxemburgo da Silva","Palmeiras","Neo Química Arena","0","2","SP","SP"
"6982","9","10/09/2020","19:15","Internacional","Ceara","4-3-1-2","4-2-3-1","E. Coudet","A. Ferreira","Internacional","Estádio José Pinheiro Borda","2","0","RS","CE"
"6984","9","10/09/2020","19:16","Bahia","Gremio","4-3-1-2","4-2-3-1","C. Prates","Renato Gaúcho","Gremio","Estádio de Pituaçu","0","2","BA","RS"
"6985","9","10/09/2020","21:00","Vasco","Atletico-GO","4-2-3-1","4-2-3-1","R. Menezes Hubner","V. Carmo Mancini","Atletico-GO","Estádio Vasco da Gama","1","2","RJ","GO"
"6986","10","12/09/2020","16:29","Athletico-PR","Coritiba","4-4-2","4-2-3-1","E. de Barros","J. de Amorim Campos","Athletico-PR","Estádio Joaquim Américo Guimarães","1","0","PR","PR"
"6987","10","12/09/2020","18:59","Santos","Sao Paulo","4-2-3-1","4-3-3","A. Stival","F. Diniz Silva","-","Estádio Urbano Caldeira","2","2","SP","SP"
"6988","10","13/09/2020","16:00","Fluminense","Corinthians","4-2-3-1","4-1-4-1","O. Hellmann","Coelho","Fluminense"," Maracanã","2","1","RJ","SP"
"6989","10","13/09/2020","16:00","Gremio","Fortaleza","4-2-3-1","4-2-3-1","Renato Gaúcho","R. Ceni","-","Arena do Grêmio","1","1","RS","CE"
"6990","10","13/09/2020","18:00","Atletico-MG","Bragantino","3-5-2","5-4-1","J. Desio","M. Nogueira Barbieri","Atletico-MG"," Mineirão","2","1","MG","SP"
"6991","10","13/09/2020","18:00","Bahia","Atletico-GO","4-1-4-1","4-2-3-1","L. Venker de Menezes","V. Carmo Mancini","Atletico-GO","Estádio de Pituaçu","0","1","BA","GO"
"6992","10","13/09/2020","18:00","Ceara","Flamengo","4-4-2","4-2-3-1","A. Ferreira","D. Torrent Font","Ceara","Arena Castelão","2","0","CE","RJ"
"6993","10","13/09/2020","18:01","Goias","Internacional","4-1-4-1","4-2-3-1","T. Mendes Larghi","E. Coudet","Goias","Estádio da Serrinha","1","0","GO","RS"
"6994","10","13/09/2020","19:46","Palmeiras","Sport","4-2-3-1","4-2-3-1","V. Luxemburgo da Silva","J. Ribeiro Ventura","-","Allianz Parque","2","2","SP","PE"
"6995","10","13/09/2020","20:29","Botafogo-RJ","Vasco","3-4-3","4-2-3-1","P. Autuori de Mello","R. Menezes Hubner","Vasco","Estádio Nilton Santos","2","3","RJ","RJ"
"6937","11","16/09/2020","21:32","Corinthians","Bahia","4-2-3-1","4-2-3-1","Coelho","L. Venker de Menezes","Corinthians","Neo Química Arena","3","2","SP","BA"
"6938","11","19/09/2020","19:01","Fortaleza","Internacional","4-2-3-1","4-1-2-1-2","R. Ceni","E. Coudet","Fortaleza","Arena Castelão","1","0","CE","RS"
"6939","11","19/09/2020","19:01","Bragantino","Ceara","4-3-3","4-2-3-1","M. Nogueira Barbieri","A. Ferreira","Bragantino","Nabizão","4","2","SP","CE"
"6940","11","19/09/2020","21:00","Atletico-GO","Atletico-MG","4-2-3-1","4-3-3","V. Carmo Mancini","J. Sampaoli Moya","Atletico-MG","Estádio Olímpico Pedro Ludovico Teixeira","3","4","GO","MG"
"6941","11","20/09/2020","16:00","Gremio","Palmeiras","4-5-1","4-3-2-1","Renato Gaúcho","V. Luxemburgo da Silva","-","Arena do Grêmio","1","1","RS","SP"
"6942","11","20/09/2020","16:00","Coritiba","Vasco","4-3-3","4-2-3-1","J. de Amorim Campos","T. Kosloski","Coritiba"," Couto Pereira","1","0","PR","RJ"
"6943","11","20/09/2020","18:15","Botafogo-RJ","Santos","4-4-2","4-3-3","P. Autuori de Mello","A. Stival","-","Estádio Nilton Santos","0","0","RJ","SP"
"6944","11","20/09/2020","20:29","Sport","Fluminense","4-3-3","4-1-2-1-2","J. Ribeiro Ventura","O. Hellmann","Sport","Adelmar da Costa Carvalho","1","0","PE","RJ"
"6996","12","23/09/2020","21:30","Sport","Corinthians","4-2-3-1","4-2-3-1","J. Ribeiro Ventura","Coelho","Sport","Adelmar da Costa Carvalho","1","0","PE","SP"
"6997","12","26/09/2020","18:59","Athletico-PR","Bahia","4-3-3","4-4-2","E. de Barros","L. Venker de Menezes","Athletico-PR","Estádio Joaquim Américo Guimarães","1","0","PR","BA"
"6998","12","26/09/2020","19:00","Internacional","Sao Paulo","4-2-3-1","4-2-3-1","E. Coudet","F. Diniz Silva","-","Estádio José Pinheiro Borda","1","1","RS","SP"
"6999","12","26/09/2020","21:00","Atletico-MG","Gremio","4-2-3-1","4-2-3-1","J. Sampaoli Moya","Renato Gaúcho","Atletico-MG"," Mineirão","3","1","MG","RS"
"7000","12","27/09/2020","11:01","Vasco","Bragantino","4-2-3-1","4-3-3","R. Menezes Hubner","M. Nogueira Barbieri","-","Estádio Vasco da Gama","1","1","RJ","SP"
"7001","12","27/09/2020","16:22","Palmeiras","Flamengo","4-1-4-1","4-2-3-1","V. Luxemburgo da Silva","J. Guerrero","-","Allianz Parque","1","1","SP","RJ"
"7003","12","27/09/2020","18:14","Atletico-GO","Botafogo-RJ","4-2-3-1","3-4-2-1","V. Carmo Mancini","P. Autuori de Mello","-","Estádio Olímpico Pedro Ludovico Teixeira","1","1","GO","RJ"
"7002","12","27/09/2020","18:18","Ceara","Goias","4-2-3-1","4-1-4-1","A. Ferreira","T. Mendes Larghi","-","Arena Castelão","2","2","CE","GO"
"7004","12","27/09/2020","20:30","Santos","Fortaleza","4-1-4-1","4-2-3-1","A. Stival","R. Ceni","-","Estádio Urbano Caldeira","1","1","SP","CE"
"7005","12","28/09/2020","20:00","Fluminense","Coritiba","4-2-3-1","4-2-3-1","O. Hellmann","J. de Amorim Campos","Fluminense","Estádio Nilton Santos","4","0","RJ","PR"
"6892","1","30/09/2020","21:30","Corinthians","Atletico-GO","4-4-2","4-2-3-1","Coelho","V. Carmo Mancini","-","Neo Química Arena","0","0","SP","GO"
"6893","1","30/09/2020","21:30","Botafogo-RJ","Bahia","3-4-1-2","4-4-2","P. Autuori de Mello","L. Venker de Menezes","Bahia","Estádio Nilton Santos","1","2","RJ","BA"
"7006","13","03/10/2020","17:00","Gremio","Internacional","4-1-4-1","4-1-3-2","Renato Gaúcho","E. Coudet","-","Arena do Grêmio","1","1","RS","RS"
"7007","13","03/10/2020","19:00","Palmeiras","Ceara","4-2-3-1","4-2-3-1","V. Luxemburgo da Silva","A. Ferreira","Palmeiras","Allianz Parque","2","1","SP","CE"
"7008","13","03/10/2020","21:01","Bragantino","Corinthians","4-1-4-1","4-2-3-1","M. Nogueira Barbieri","Coelho","-","Nabizão","0","0","SP","SP"
"7015","13","04/10/2020","09:02","Atletico-MG","Vasco","4-1-4-1","4-2-3-1","J. Sampaoli Moya","R. Menezes Hubner","Atletico-MG"," Mineirão","4","1","MG","RJ"
"7009","13","04/10/2020","11:00","Botafogo-RJ","Fluminense","4-3-3","4-2-3-1","B. Lazaroni","O. Hellmann","-","Estádio Nilton Santos","1","1","RJ","RJ"
"7010","13","04/10/2020","16:00","Coritiba","Sao Paulo","4-2-3-1","4-4-2","J. de Amorim Campos","F. Diniz Silva","-"," Couto Pereira","1","1","PR","SP"
"7011","13","04/10/2020","16:00","Flamengo","Athletico-PR","4-2-3-1","4-3-3","J. Gris Vila","E. de Barros","Flamengo"," Maracanã","3","1","RJ","PR"
"7013","13","04/10/2020","18:14","Goias","Santos","4-1-4-1","4-1-4-1","E. Alves Moreira","A. Stival","Santos","Estádio da Serrinha","2","3","GO","SP"
"7014","13","04/10/2020","18:15","Bahia","Sport","4-4-2","4-2-3-1","L. Venker de Menezes","J. Ribeiro Ventura","Sport","Estádio de Pituaçu","1","2","BA","PE"
"7012","13","04/10/2020","18:16","Fortaleza","Atletico-GO","4-2-3-1","4-2-3-1","R. Ceni","V. Carmo Mancini","-","Arena Castelão","0","0","CE","GO"
"7016","14","07/10/2020","18:59","Corinthians","Santos","4-4-2","4-4-2","Coelho","A. Stival","-","Neo Química Arena","1","1","SP","SP"
"7018","14","07/10/2020","19:14","Bahia","Vasco","4-2-3-1","4-2-3-1","L. Venker de Menezes","R. Menezes Hubner","Bahia","Estádio de Pituaçu","3","0","BA","RJ"
"7017","14","07/10/2020","19:15","Flamengo","Sport","4-2-3-1","4-2-3-1","D. Torrent Font","J. Ribeiro Ventura","Flamengo"," Maracanã","3","0","RJ","PE"
"7019","14","07/10/2020","19:15","Gremio","Coritiba","4-2-3-1","4-2-3-1","Renato Gaúcho","J. de Amorim Campos","Gremio","Arena do Grêmio","2","1","RS","PR"
"7020","14","07/10/2020","20:31","Sao Paulo","Atletico-GO","4-1-4-1","4-2-3-1","F. Diniz Silva","V. Carmo Mancini","Sao Paulo"," Morumbi","3","0","SP","GO"
